index:4846	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
this is the 3 copy version of norton av . ( one cd will create three copies ) i purchased it to save money as it was less than $20 per copy . i bought it to replace nav 2006 on the same three computers which had expired . installed easily on two machines . just the uninstall of 2006 and the install of 2007. the first machine was more difficult . there is evidently some conflicting software on the computer as i had to use msconfig for a " clean boot " per norton web site instructions . i kept running into the " blue screen of death " on the previous installs when i would get to the actual install of the norton av . each time i would have to uninstall the program and do more . but all of the help came from the symantec ( norton ) website . it is now working fine . added : my personal preference is to not use software firewalls . i use a router with nat as a hardware firewall . ( it only blocks unauthorized incoming malware ) software firewalls try to tell you about everything leaving your computer and generally you either become paranoid or just shut the thing off . they are intended to look for malware by behavior . antivirus programs look for malware by signature . the only advantage to finding malware by behavior is if the computer is attacked in the first day or two of the malware 's existence . if one has an antivirus program it will eventually ( within a few days ) find the problem that the software firewall was trying to tell someone about . ( assuming they have n't given up yet with too many cries for wolf ) . so the only software firewall i have ( microsoft os firewall ) is turned off and thus i have n't had the same problem as others report . as a practice i sent junk email directly to the trash can and avoid weird websites . so far no problems with malware .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
             word  freq in doc  freq in neg docs  freq in pos docs
199               way            1               797               729
200                to           10             17142             15686
201               new            1               778               850
202                an            2              1910              2076
203             first            2              1005              1092
204               put            1               381               351
205           systems            2                24                26
206                up            1              1509              1395
207              with            1              4999              5398
208              here            2               543               503
209            remote            1                42                39
210              been            2              1038               966
211              year            1               375               349
212             their            1              1198              1115
213              have            2              4311              4016
214            indeed            1                46                43
215           setting            1                86                92
216        throughout            1                86                92
217                 s            4              5094              5447
218              this            3              9854              9231
219                of            9             13280             14141
220         regularly            1                17                16
221       interesting            1               211               199
222               you            1              5542              5872
223                on            3              4756              4494
224          somewhat            1                70                74
225                 a           12             15218             16073
226               for            2              6169              6493
227           regular            1                61                58
228              last            1               319               333
229                at            2              2284              2188
230             where            1               493               473
231              from            1              2240              2332
232             sound            1               335               322
233          acoustic            1                26                25
234               end            1               383               370
235               him            1               419               433
236             while            1               538               555
237                cd            1               703               725
238                we            1              1042              1013
239          question            1                71                73
240               all            1              2566              2496
241             these            1               874               892
242           release            1               137               139
243                he            3              1830              1805
244                by            2              1819              1842
245              time            1              1390              1406
246              will            3              1519              1507
247               the           14             33204             33454
248            almost            1               319               318
249               are            4              3589              3599
250             since            2               444               443
251              some            1              1439              1436
252             aphex            2                 1                 1
253       deliverance            1                 1                 1
254       elaborately            1                 1                 1
255             esque            1                 2                 2
256          excesses            1                 1                 1
257           frantic            1                 2                 2
258         greatness            1                 7                 7
259          inspires            1                 2                 2
260        interludes            1                 1                 1
261           letting            1                23                23
262             overt            1                 2                 2
263          reviving            1                 1                 1
======================================================================================================

index:1406	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
i started off using turbotax this year , but returned it to the store to use taxcut instead . i purchased this version because it was a bargain , and it 's easy enough to do state taxes by hand ( or for free on the state website for those states that have that option ) . i did have some difficulty with the update process , which was frustrating at first . however , i found taxcut 's website to be helpful on this point , and i determined that my firewall was the problem . i was able to update the product once i followed their instructions . one key difference between turbotax and taxcut was that taxcut is not integrated with as many companies . whereas i could automatically download my w-2 and most of my 1099 forms into turbotax , they needed to be manually entered with taxcut . this was n't a huge issue , but one difference people might want to know . i completed and e-filed multiple federal returns , which worked great , and the e-file charge was reasonable ( $15.95 ) . however , i do n't suggest having the e-file charge taken out of your refund . apparently , there 's an extra charge ( i think $25 ) for this service . it 's more efficient and less expensive to just pay the fee with a credit card . now to the software itself . i found it easy to navigate and enter information . i was a bit disappointed in the deduction section . many of the fields were too short for me to enter complete names and addresses of charities , which i found frustrating . however , the calculations were accurate . i checked taxcut 's calculations regarding amt , and they were excellent ( turbotax 's calculations were wrong ) . in the second return i completed , the taxpayer was eligible for eic , and taxcut accurately identified this and did the proper calculations here as well . overall , i was very satisfied with the product , and will use it again next year . i will make suggestions to taxcut , and hope they will improve their support for automatic download of forms and longer fields for charitable deductions . however , even without these changes , the product is an exceptional value

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
              word  freq in doc  freq in neg docs  freq in pos docs
0              amt            1                 0                 1
1        charities            1                 1                 0
2       deductions            1                 0                 1
3           refund            1               102                 3
4         navigate            1                 3                20
5              fee            1                18                 3
6     calculations            4                10                 2
7        excellent            1                90               443
8        completed            2                 5                22
9         returned            1               136                33
10         support            1               432               107
11     exceptional            1                 5                20
12        turbotax            4                51                13
13          taxcut            8                35                 9
14          return            1               253                71
15        manually            1                35                10
16          update            2                92                27
17     frustrating            2                70                21
18    disappointed            1               302                92
19      integrated            1                 5                16
20            easy            2               215               685
21         service            1               223                72
22       satisfied            1                28                77
23          credit            1                71                26
24      identified            1                 3                 8
25       regarding            1                37                14
26           enter            2                40                16
27             pay            1               183                75
28           great            1               840              2011
29      reasonable            1                17                40
30        download            2               114                49
31         entered            1                18                 8
32         instead            1               347               155
33         checked            1                38                17
34           wrong            1               277               128
35      apparently            1                95                45
36       deduction            1                 2                 4
37        eligible            1                 1                 2
38         problem            1               509               256
39         overall            1               124               235
40         helpful            1                46                85
41           might            1               357               194
42      accurately            1                14                 8
43         website            2               109                64
44             did            2              1449               868
45          worked            1               237               142
46        accurate            1                55                91
47          charge            3               105                64
48             not            1              5323              3260
49        firewall            1                31                19
50         returns            1                24                39
51               t            2              4503              2890
52           could            1              1164               749
53               n            2              4387              2850
54               e            3               180               117
55       companies            1                46                30
56             off            1               732               483
57       automatic            1                30                20
58         bargain            1                12                18
59       efficient            1                 8                12
60            well            1               911              1366
61            they            3              2739              1836
62         suggest            1                80                54
63        followed            1                37                25
64            even            1              1416               963
65         product            3              1032               717
66            huge            1               147               103
67             was           10              5467              3831
68            know            1               751               537
69           extra            1                96               134
70              do            2              2731              1962
71           store            1               125                90
72         because            1              1246               900
73         section            1                59                81
74            were            4              1139               830
75             key            1                62                85
76           taxes            1                19                14
77             bit            1               241               327
78        multiple            1                36                48
79           those            1               440               585
80              me            1              1928              1451
81       purchased            1               301               229
82         federal            1                21                16
83          fields            2                17                13
84           issue            1                99                76
85             use            2               975              1270
86             too            1               892               685
87            hand            1               126               164
88         without            1               373               480
89           using            1               410               527
90         started            1               190               148
91              as            2              3580              4487
92      difficulty            1                20                16
93            free            1               230               184
94           there            1              1896              1528
95            just            1              2105              1702
96            want            1               655               531
97              or            1              2429              1973
98             out            1              1983              1615
99            most            1               769               944
100           very            1              1659              2023
101         having            1               274               334
102        however            4               545               448
103              w            1                70                58
104            but            2              4672              3874
105           next            1               266               222
106    information            1               170               142
107       software            1               597               499
108              i           18             17409             14584
109          state            2               106                89
110           once            1               260               309
111          again            1               539               454
112           make            1               789               665
113           that            4              8117              6863
114         people            1               768               651
115          value            1                85               100
116             be            2              3157              2688
117       complete            1               149               127
118           file            2               106                91
119        version            1               553               478
120         longer            1               137               119
121        between            1               219               252
122           hope            1               148               129
123        changes            1                63                72
124     determined            1                14                16
125          filed            1                 8                 7
126          taken            1               156               137
127         enough            1               392               345
128           more            1              1632              1853
129    suggestions            1                15                17
130        whereas            1                17                15
131         proper            1                23                26
132            and           15             16392             18511
133      addresses            1                 8                 9
134        process            1                96               108
135           into            1               750               841
136             it            6             12805             11629
137           less            1               288               263
138             in            2              7861              8604
139             is            2             10782             11796
140             to           12             17142             15686
141          which            3              1310              1203
142             an            2              1910              2076
143          first            1              1005              1092
144        improve            1                35                38
145     difference            2                94               102
146  automatically            1                26                24
147          forms            2                37                40
148           with            5              4999              5398
149           here            1               543               503
150           year            2               375               349
151          their            2              1198              1115
152           have            2              4311              4016
153              s            6              5094              5447
154           this            6              9854              9231
155             of            5             13280             14141
156             on            2              4756              4494
157              a            4             15218             16073
158            for            7              6169              6493
159           many            2               778               817
160           able            1               263               276
161         option            1                62                65
162             at            1              2284              2188
163           card            1               151               145
164          think            1               644               623
165         needed            1               150               155
166   instructions            1                63                61
167          names            1                32                33
168             my            3              3662              3771
169         itself            1               142               139
170          short            1               190               186
171          point            1               296               290
172          these            1               874               892
173            one            2              2703              2757
174         states            1                58                57
175         second            1               252               256
176             by            1              1819              1842
177           your            1              1413              1396
178           will            3              1519              1507
179            the           17             33204             33454
180            now            1               772               769
181          found            3               471               472
182           some            1              1439              1436
183     charitable            1                 1                 1
184      expensive            1               107               107
======================================================================================================

index:7303	label:neg	pred:pos	pred_prob: 0.00 vs 1.00
in 1980 michael weiner saw the publication of weiner 's herbal : the guide to herb medicine , which states the medical benefits of marijuana [7]. however he recently stated that the chemicals in marijuana make it too dangerous to be used as medicine . on his program , he strongly cautions against the recreational use of marijuana , occasionally devoting his show to " marijuana horror stories " and its claimed potential to ruin lives . he has authored a number of other books on various herbal medicine topics under this name . more recently , savage 's books are political in nature and published by wnd books , a partnership between the conservative website worldnetdaily and thomas nelson , a publisher of christian books . in january 2003 he published the savage nation : saving america from the liberal assault on our borders , language and culture , his first book under the pseudonym michael savage . the book quickly reached the top of the new york times bestseller list earning savage , as noted above , a commentary show on msnbc . the controversial book directs attacks at " media bias " , the " dominating culture of ' she-ocracy ' " , gays , and liberals . critics have faulted savage for making a number of assertions in the book that he often fails to substantiate with facts or resources . exacerbating this condition is the fact that the book itself has no index . the book is divided into two - to four-page sections , many of which are near-exact replicas to columns he published on the conservative site newsmax.com . in january 2004 , savage published his second political book , the enemy within : saving america from the liberal assault on our schools , faith , and military . his newest book , liberalism is a mental disorder was released on april 12 , 2005. both of these books contained citations of nearly every assertion made , contrary to " the savage nation . " in january 2006 , savage announced that he would be releasing a new book , the political zoo , in mid-march . [8] the book will contain satirical profiles and cartoons of different people in politics as animals in the " political zoo " including one of savage himself , who will be portrayed as the zookeeper . savage has remarked that the book will be " easier to digest " than his previous political books . books as michael weiner plant a tree , new york : collier books , 1975 bugs in peanut butter , boston : little , brown , 1976. man 's useful plants , new york : macmillan . 1976. earth medicine , earth food , new york : macmillan pub . co. , 1980. the way of the skeptical nutritionist , new york : macmillan , 1981. nutrition against aging , bantam books , 1983. secrets of fijian medicine , quantum books , 1983. " vital signs " , avant books , 1983 getting off cocaine , avon books , 1984. maximum immunity , boston : houghton mifflin , 1986. reducing the risk of alzheimer 's , new york : stein and day , 1987. the complete book of homeopathy , garden city park , n.y. : avery pub . , 1989. the herbal bible , san rafael , ca : quantum books , 1992. healing children naturally , san rafael , ca : quantum books , 1993. herbs that heal : prescription for herbal healing , mill valley , ca : quantum books , 1994. the antioxidant cookbook , mill valley , ca : quantum books , 1995. [edit] books as michael savage the savage nation , wnd books , 2003. the enemy within , nelson current , 2004. liberalism is a mental disorder , nelson current , 2005. the political zoo , nelson current , 2006. michael alan weiner was born to a russian jewish family [1] in the borough of the bronx in new york city . michael savage earned a bachelor 's from queens college in education and sociology . he taught high school for several years in new york city . following that , he earned two master 's degrees in ethnobotany and anthropology from the university of hawaii . he then received a ph.d . in nutritional ethnomedicine in 1978 from the university of california , berkeley . his thesis was titled nutritional ethnomedicine in fiji . savage spent many years researching botany in the south pacific , and has a background in alternative medicine . he has stated he was a liberal at one time and never served in the military . weiner was a friend of openly gay beat poet allen ginsberg , offering to arrange readings for ginsberg and lawrence ferlinghetti in 1972. [2] some of his letters to ginsberg are held in ginsberg 's archives and one of those letters describes an encounter with a young fijian man . [3] savage denies writing the letter and called it part of a " smear campaign " by " gay fascists " . [4] savage also once posed naked for a photograph with ginsberg while swimming in fiji . [5] ferlinghetti views weiner 's reincarnation as michael savage as " total opportunism , " the crowning achievement of someone who was " always looking to make a fast buck " and " always trying to think up new schemes to get famous . " michael savage began his radio career in 1992 on san francisco 's #1 news / talk radio station kgo , first doing fill in work for other hosts , then getting his own show on the weekend . two years later he was given a weekday show on kgo 's sister station ksfo where he shared airtime with a liberal talk show host . he chose his " nom de voix " in " the tonga islands in the 1960s . i stumbled upon the name of a [19th-century] shipwreck who was locally infamous -charles savage . his exploits were legendary , " he said . " so the name was bouncing around in my head . " at the time , his slogan was " to the right of rush , and to the left of god . " on january 1 , 1995 he was given his own show during the drive-time hours . the show quickly became a local hit . in 1999 , he came to the attention of the talk radio network . on january 17 , 2000 he started doing an additional two hours of radio which was broadcast nationally . for the next eight months , savage would spend a total of five hours a day just talking . his national experiment was a success , and on september 21 , 2000 , he stopped doing separate shows , beginning a full three-hour national show . after just one year , he was in 150 markets . by 2003 , he was in over 200 markets and is currently the no . 3 radio host in the united states . in june 2003 , he had a salary dispute with his flagship station ksfo who refused to renegotiate his contract . he was off the air for three weeks . on july 1 , 2003 he began his show on a different station : knew in san francisco . since that dispute , he speaks badly of ksfo and of " vanity or pretty boy " sean hannity , whose show replaced his on the station . savage also speaks pejoratively when referencing his fellow talk radio hosts or individuals with whom he disagrees ( see list of michael savage neologisms ) . as of 2005 , savage has between 8 million and 10 million listeners per week . this makes his show the third most widely listened to broadcast in the united states . in 1996 he applied to be a dean at uc berkeley 's graduate school of journalism . when he was not granted an interview due to lack of qualifications- -less than two years of experience in radio , with a ph.d . in epidemiology and nutrition science- -savage filed a discrimination lawsuit that was eventually dismissed . the position instead went to china scholar orville schell who , according to weiner , was less qualified than himself . savage was hired by msnbc to do a one-hour show starting march 8 , 2003. on july 7 , a mere four months later , he was fired for making anti-gay remarks in response to a caller , later identified as prank caller " east coast bob . " savage was doing an " airline horror stories " piece , when bob called into his show to talk about undercover security guards smoking in the bathroom . his next words were " half hour into the flight , i need to suggest that don and mike should take your show so you can go to the dentist because your teeth are really bad " . the words after " should " were bleeped out by a msnbc exec , which would make one believe that the caller was actually making lewd comments about savage 's sexual orientation . savage asked if he was a " sodomite " , to which the caller answered " yes " . savage then said to the caller : " oh , so you 're one of those sodomites . you should only get aids and die , you pig , how 's that ? why do n't you see if you can sue me , you pig . you got nothing better to do than to put me down , you piece of garbage , you got nothing better to do today , go eat a sausage and choke on it . get trichinosis . now do we have another nice caller here who 's busy because he did n't have a nice night in the bathhouse who 's angry at me today ? put another , put another sodomite on....no more calls ? i do n't care about these bums , they mean nothing to me . they 're all sausages . " [6] before the show was canceled , msnbc was replaying his show during primetime hours saturday night ; many believe the show would have been canceled even without his comments , and that msnbc was simply looking for an excuse to dump the program due to pressure from special interest groups . others point out that msnbc has had poor programming and ratings performance for a long time and that many talk shows of all different political stripes have come and gone quickly on the network .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
               word  freq in doc  freq in neg docs  freq in pos docs
0           airtime            1                 0                 2
1         alzheimer            1                 0                 1
2          archives            1                 2                 0
3           assault            2                 0                 3
4         assertion            1                 9                 0
5              avon            1                 3                 0
6         bathhouse            1                 1                 0
7        bestseller            1                 4                 0
8           bleeped            1                 0                 1
9             bronx            1                 1                 0
10         canceled            2                 4                 0
11          cocaine            1                 0                 2
12        disagrees            1                 0                 1
13   discrimination            1                 4                 0
14     epidemiology            1                 0                 2
15             exec            1                 2                 0
16         fascists            1                 1                 0
17          faulted            1                 0                 1
18         flagship            1                 0                 2
19         ginsberg            5                 0                 4
20             herb            1                 0                 2
21           herbal            4                 0                 3
22            hosts            2                 0                 4
23         immunity            1                 0                 2
24          islands            1                 0                 3
25        marijuana            4                 0                 2
26       nationally            1                 0                 1
27              nom            1                 1                 0
28      partnership            1                 0                 2
29            prank            1                 0                 2
30        primetime            1                 1                 0
31        pseudonym            1                 1                 0
32           queens            1                 3                 0
33     recreational            1                 0                 2
34    reincarnation            1                 4                 0
35        replaying            1                 0                 1
36           salary            1                 2                 0
37         sausages            1                 0                 1
38          schemes            1                 0                 7
39           slogan            1                 2                 0
40            stein            1                 4                 0
41          stripes            1                11                 0
42       undercover            1                 0                 1
43              zoo            3                 0                 3
44         cookbook            1                 1                18
45          smoking            1                13                 1
46         liberals            1                10                 1
47          remarks            1                10                 1
48        september            1                 1                 8
49         contrary            1                15                 2
50          garbage            1               101                14
51           denies            1                 7                 1
52      nutritional            2                 1                 7
53           boston            2                 2                13
54           flight            1                 4                22
55            fails            1                74                14
56            naked            1                21                 4
57       assertions            1                 5                 1
58         bouncing            1                 1                 5
59           digest            1                 1                 5
60             dump            1                10                 2
61      orientation            1                 1                 5
62             poor            1               272                62
63        legendary            1                 6                26
64         benefits            1                 6                25
65          stopped            1               103                25
66        announced            1                 1                 4
67         authored            1                 1                 4
68             poet            1                 8                 2
69         remarked            1                 1                 4
70          dentist            1                 3                11
71          pacific            1                11                 3
72         contract            1                14                 4
73            badly            1                41                12
74            plant            1                 5                17
75          refused            1                34                10
76             talk            6               158                48
77          arrange            1                 1                 3
78            avant            1                 3                 1
79        chemicals            1                 1                 3
80            choke            1                 3                 1
81          divided            1                 2                 6
82         exploits            1                 3                 1
83         graduate            1                 8                24
84          granted            1                21                 7
85              bad            1               741               248
86          nothing            3               555               189
87     conservative            2                23                 8
88           earned            2                17                 6
89           thomas            1                12                33
90       identified            1                 3                 8
91           nelson            4                 3                 8
92        publisher            1                24                 9
93        nutrition            2                 5                13
94          reached            1                18                 7
95            allen            1                10                25
96     anthropology            1                 5                 2
97          earning            1                 2                 5
98              pig            2                 4                10
99           shared            1                 6                15
100       skeptical            1                 6                15
101          fellow            1                13                32
102             san            4                 8                19
103        cartoons            1                 6                14
104         claimed            1                21                 9
105        swimming            1                 3                 7
106            bugs            1                37                16
107        military            2                20                46
108          butter            1                 7                16
109         medical            1                14                32
110        response            1                50                22
111          trying            1               364               161
112         quantum            5                 9                 4
113         scholar            1                 9                 4
114         instead            1               347               155
115           exact            1                49                22
116           facts            1                40                18
117           calls            1                42                19
118       francisco            2                 5                11
119         charles            1                12                26
120         healing            2                 6                13
121        replaced            1                56                26
122              oh            1               135                63
123            fast            1                93               199
124          garden            1                 9                19
125            mean            1               164                78
126     achievement            1                 5                10
127            alan            1                 7                14
128         animals            1                22                44
129        bachelor            1                 2                 1
130        berkeley            2                 1                 2
131         columns            1                 4                 2
132   controversial            1                 5                10
133        crowning            1                 4                 2
134         directs            1                 1                 2
135        disorder            2                 2                 4
136      dominating            1                 2                 1
137           fired            1                 8                 4
138            host            2                 8                16
139        infamous            1                 5                10
140         locally            1                10                 5
141         markets            2                10                 5
142         network            2                26                13
143       qualified            1                 8                 4
144          rafael            2                 1                 2
145       satirical            1                 1                 2
146          served            1                28                14
147          thesis            1                 8                 4
148          vanity            1                 8                 4
149        separate            1                25                49
150        offering            1                35                18
151           total            2               110                57
152            half            1               206               107
153          sister            1                26                50
154        received            1               170                89
155            site            1                97                51
156            sean            1                10                19
157           hours            4               205               108
158        readings            1                36                19
159          stated            2                47                25
160         century            1                36                67
161         stories            2                61               113
162            nice            2               209               386
163          called            2               216               117
164          mental            2                13                24
165            mike            1                13                24
166             why            1               600               326
167             die            1                58                32
168       broadcast            2                 9                 5
169          family            1               145               259
170            said            2               339               190
171           shows            2                87               154
172          hawaii            1                 4                 7
173          openly            1                 4                 7
174         someone            1               274               157
175           spent            1               112                65
176        actually            1               465               270
177          months            2               256               149
178             god            1               180               105
179        reducing            1                 7                12
180        sections            1                21                36
181       interview            1                17                29
182         website            1               109                64
183          always            2               250               425
184            east            1                27                16
185            five            1                79               133
186           spend            1               121                72
187           asked            1                72                43
188             did            1              1449               868
189       condition            1                24                40
190          excuse            1                25                15
191          nature            1                45                75
192     programming            1                15                 9
193          saving            2                35                21
194     performance            1               115               191
195           angry            1                23                14
196      commentary            1                25                41
197           coast            1                11                18
198     individuals            1                11                18
199         liberal            4                18                11
200          easier            1                63               103
201             not            1              5323              3260
202           south            1                47                29
203            lack            1               103                64
204              no            3              1818              1133
205         degrees            1                 5                 8
206        lawrence            1                 5                 8
207       naturally            1                24                15
208      background            1                59                94
209           lives            1                71               113
210            busy            1                19                12
211           china            1                30                19
212         january            5                 7                11
213       resources            1                22                14
214            left            1               213               136
215            news            1                36                23
216         special            1                96               150
217               t            3              4503              2890
218         ratings            1                14                 9
219            went            1               210               135
220       christian            1                71                46
221            week            1               128                83
222               n            4              4387              2850
223        security            1                83                54
224             got            2               671               438
225          united            2                17                26
